18.52,100963.92,72.00,0.00,0.00,161.29,0.00,161.29,82224.00,40,1
18.51,100963.45,72.04,0.00,0.00,112.41,0.00,112.41,82951.00,198,1
18.52,100973.34,71.21,0.00,0.00,83.09,0.00,83.09,83680.00,44,1
18.52,100964.60,71.94,0.00,0.00,87.98,0.00,87.98,84405.00,18,1
18.52,100970.76,71.43,0.00,0.00,107.53,0.00,107.53,85130.00,192,1
18.52,100969.81,71.51,0.00,0.00,43.99,0.00,43.99,86583.00,90,1
18.52,100967.56,71.70,0.00,0.00,39.10,0.00,39.10,87311.00,26,1
18.53,100964.84,71.92,0.00,0.00,39.10,0.00,39.10,88036.00,86,1
18.53,100965.52,71.87,0.00,0.00,9.78,0.00,9.78,89488.00,218,1
18.53,100965.59,71.86,0.00,0.00,9.78,0.00,9.78,90936.00,130,1
18.53,100967.20,71.72,0.00,0.00,19.55,0.00,19.55,91660.00,136,1
18.53,100967.70,71.68,0.00,0.00,34.21,0.00,34.21,93115.00,134,1
18.53,100965.33,71.88,0.00,0.00,29.33,0.00,29.33,93841.00,116,1
18.53,100966.59,71.72,0.00,0.00,9.78,0.00,9.78,94567.00,52,1
18.53,100973.23,71.22,0.00,0.00,19.55,0.00,19.55,96016.00,64,1
18.54,100973.38,71.21,0.00,0.00,43.99,0.00,43.99,96741.00,154,1
18.54,100971.59,71.36,0.00,0.00,43.99,0.00,43.99,97467.00,142,1
18.54,100973.95,71.16,0.00,0.00,53.76,0.00,53.76,98921.00,2,1
18.54,100972.27,71.30,0.00,0.00,58.65,0.00,58.65,99645.00,8,1
18.54,100970.36,71.46,0.00,0.00,58.65,0.00,58.65,101097.00,138,1
18.54,100968.84,71.59,0.00,0.00,48.88,0.00,48.88,101824.00,88,1
18.55,100983.94,70.33,0.00,0.00,43.99,0.00,43.99,102550.00,134,1
18.55,100973.36,71.21,0.00,0.00,43.99,0.00,43.99,103280.00,230,1
18.55,100971.17,71.39,0.00,0.00,19.55,0.00,19.55,104007.00,0,1
18.55,100967.97,71.66,0.00,0.00,4.89,0.00,4.89,104732.00,156,1
18.55,100975.77,71.01,0.00,0.00,4.89,0.00,4.89,106906.00,158,1
18.55,100975.59,71.02,0.00,0.00,9.78,0.00,9.78,107632.00,248,1
18.56,100972.13,71.31,0.00,0.00,9.78,0.00,9.78,108357.00,240,1
18.56,100981.63,70.52,0.00,0.00,0.00,0.00,0.00,110547.00,44,1
18.56,100986.41,70.12,0.00,0.00,0.00,0.00,0.00,111273.00,122,1
18.57,100970.81,71.42,0.00,0.00,24.44,0.00,24.44,115644.00,104,1
